id	rate
1001	0.071809616
1003	0.078865497
1005	0.057314816
1007	0.062154879
1009	0.071923212
1011	0.048229329
1013	0.057527638
1015	0.073551434
1017	0.063430821
1019	0.065664314
1021	0.07037222
1023	0.05707119
1025	0.056772894
1027	0.056753601
1029	0.062477305
1031	0.071760876
1033	0.06986459
1035	0.052276302
1037	0.058564043
1039	0.066491254
1041	0.061121912
1043	0.074438864
1045	0.068511828
1047	0.056565937
1049	0.068011159
1051	0.072840965
1053	0.063146463
1055	0.071909046
1057	0.059965548
1059	0.064106507
1061	0.065467899
1063	0.050527953
1065	0.055621884
1067	0.062680396
1069	0.074046003
1071	0.070919219
1073	0.086020078
1075	0.05947768
1077	0.075434626
1079	0.066249584
1081	0.078798477
1083	0.075121319
1085	0.050747853
1087	0.058712419
1089	0.085162177
1091	0.058712801
1093	0.062037949
1095	0.073311262
1097	0.080151828
1099	0.054861248
1101	0.07759012
1103	0.075963662
1105	0.049942238
1107	0.059417221
1109	0.066746225
1111	0.059899128
1113	0.066057293
1115	0.074986292
1117	0.085995372
1119	0.05340595
1121	0.070521724
1123	0.064348098
1125	0.078680679
1127	0.069856732
1129	0.055456713
1131	0.04655042
1133	0.059143475
2013	0.046371313
2016	0.053504579
2020	0.091908318
2050	0.054247104
2060	0.04944377
2068	0.041154831
2070	0.050624515
2090	0.08236286
2100	0.053547111
2105	0.044779255
2110	0.078634714
2122	0.071910734
2130	0.067437775
2150	0.06885225
2164	0.056030931
2170	0.076302821
2180	0.055446397
2185	0.068273506
2188	0.050428985
2195	0.052184359
2198	0.051483417
2220	0.067302745
2230	0.038525177
2240	0.055056883
2261	0.057349705
2270	0.044858937
2275	0.050580595
2282	0.044098737
2290	0.050940758
4001	0.055407449
4003	0.075063655
4005	0.076719247
4007	0.065714118
4009	0.064487375
4011	0.061139898
4012	0.059018343
4013	0.099841325
4015	0.073743842
4017	0.062261946
4019	0.089746824
4021	0.078637423
4023	0.054838418
4025	0.075972841
4027	0.055642815
5001	0.066991422
5003	0.058650439
5005	0.069850437
5007	0.087863093
5009	0.071689068
5011	0.058257334
5013	0.056676108
5015	0.077385182
5017	0.05674813
5019	0.064150843
5021	0.055524698
5023	0.068097575
5025	0.061696794
5027	0.064685762
